date,rmse,mae,bias
2012-04-22,2.3180857,1.662488,-0.2048046
2012-04-23,2.7043018,1.9588662,-0.54902923
2012-04-24,2.6474423,1.8692625,-0.11291428
2012-04-25,2.1882873,1.5382627,-0.18547687
2012-04-26,1.8245437,1.3021683,0.23294581
2012-04-27,1.8818723,1.3382964,0.042764194
2012-04-28,1.8713031,1.3032919,-0.43580723
2012-04-29,2.0689712,1.443684,-0.50603586
2012-04-30,2.1126513,1.503607,-0.44991735
2012-05-01,1.7891958,1.2851613,-0.24036618
2012-05-02,1.9009998,1.3354108,-0.31983128
2012-05-03,1.8804176,1.3060895,0.28885362
2012-05-04,1.7930846,1.2677811,0.10995092
2012-05-05,1.8813528,1.2922775,-0.25087023
2012-05-06,1.9629681,1.3744843,-0.20526671
2012-05-07,2.2580204,1.5862122,-0.38353688
2012-05-08,2.4036782,1.6572938,-0.5053744
2012-05-09,2.2454474,1.5802792,-0.27141023
2012-05-10,2.006237,1.3870426,0.09492837
2012-05-11,2.0147324,1.3883591,-0.26150015
2012-05-12,2.379105,1.6450596,-0.4891758
2012-05-13,2.7876184,1.9205346,-0.45979264
2012-05-14,2.8914924,2.008422,-0.47167215
2012-05-15,2.935503,1.9840312,-0.8237871
2012-05-16,2.6962047,1.8212001,-0.84965485
2012-05-17,2.283735,1.5499699,-0.40373865
2012-05-18,2.1197476,1.4343495,-0.2609258
2012-05-19,2.244446,1.5150948,-0.0151923075
2012-05-20,2.416092,1.6716053,0.30769613
2012-05-21,2.0227408,1.4038652,0.05575442
2012-05-22,1.9370508,1.3795071,-0.20210057
2012-05-23,2.0038407,1.4154315,-0.034005046
2012-05-24,2.0692923,1.4394221,-0.5553508
2012-05-25,2.432893,1.6447906,-0.64971507
2012-05-26,2.7887034,1.8925021,-0.8038823
2012-05-27,2.7133858,1.784874,-0.7957521
2012-05-28,2.280045,1.5313483,-0.12420876
2012-05-29,2.0998042,1.4323179,0.24977665
2012-05-30,2.3941987,1.6524541,0.24851641
2012-05-31,2.260442,1.5762031,0.24493998
