loss,masked_bias,masked_mae,val_loss,val_masked_bias,val_masked_mae,learning_rate
0.15247946977615356,-0.01369247492402792,0.27930697798728943,0.13862711191177368,0.07605548202991486,0.24993395805358887,9.999999747378752e-05
0.0967569500207901,-0.003049279795959592,0.2229541838169098,0.14069664478302002,0.06913412362337112,0.24970228970050812,9.999999747378752e-05
0.08566451072692871,-0.0016699618427082896,0.2091997265815735,0.11694730818271637,0.05338086560368538,0.22978553175926208,9.999999747378752e-05
0.07913226634263992,-0.0010713088558986783,0.20060403645038605,0.12124843895435333,0.06802185624837875,0.23327891528606415,9.999999747378752e-05
0.0742560401558876,-0.00036988427746109664,0.1939304918050766,0.10437259823083878,0.05469442903995514,0.2169877141714096,9.999999747378752e-05
0.07127686589956284,-0.0004475884488783777,0.18981054425239563,0.11829211562871933,0.08751827478408813,0.23477478325366974,9.999999747378752e-05
0.06847543269395828,-0.000283384375507012,0.18611368536949158,0.10196422785520554,0.07678301632404327,0.21659578382968903,9.999999747378752e-05
0.06581570208072662,-0.0009032063535414636,0.1822883039712906,0.1067984402179718,0.05212714523077011,0.22275976836681366,9.999999747378752e-05
0.06442974507808685,-0.00026205621543340385,0.18032172322273254,0.10808086395263672,0.06353069096803665,0.21798817813396454,9.999999747378752e-05
0.06205141171813011,7.244498556246981e-05,0.17662262916564941,0.09144815057516098,0.07488905638456345,0.20719675719738007,9.999999747378752e-05
0.06060486659407616,-0.0002931760682258755,0.17470937967300415,0.08048336952924728,0.015157925896346569,0.19589324295520782,9.999999747378752e-05
0.059235524386167526,-0.0005652818363159895,0.17276105284690857,0.10728713870048523,0.09535058587789536,0.21986933052539825,9.999999747378752e-05
0.057926591485738754,-4.796922075911425e-05,0.17061713337898254,0.08069239556789398,-0.0018216975731775165,0.19608840346336365,9.999999747378752e-05
0.0565103217959404,0.00014505571743939072,0.16859956085681915,0.0923725888133049,0.03129234164953232,0.20722351968288422,9.999999747378752e-05
0.05478457361459732,0.00020631028746720403,0.16597586870193481,0.08790648728609085,0.03302651643753052,0.20362567901611328,9.999999747378752e-05
0.05067896470427513,-9.029640932567418e-05,0.15900631248950958,0.08045468479394913,0.012308379635214806,0.19535475969314575,4.999999873689376e-05
0.04956786334514618,0.00023445843544322997,0.15730386972427368,0.07733623683452606,0.04186354577541351,0.19123026728630066,4.999999873689376e-05
0.04869389906525612,-0.00022006760991644114,0.15615183115005493,0.09907028079032898,0.05656449496746063,0.21650294959545135,4.999999873689376e-05
0.048072729259729385,-0.00037649180740118027,0.15516024827957153,0.07827012985944748,0.031233282759785652,0.19093474745750427,4.999999873689376e-05
0.047344278544187546,0.00010181318793911487,0.1542401909828186,0.07977122068405151,0.029285330325365067,0.1939297467470169,4.999999873689376e-05
